onset	duration	trial_type	valence	stimulus	response	response_time
2.041	5	BETTER	Negative	stimuli/9620.jpg	3	0.8109999999999999
12.800999999999998	5	VIEW	Neutral	stimuli/rollingpin.bmp	3	1.835
23.748	5	VIEW	Negative	stimuli/9912.jpg	1	0.382
34.588	5	VIEW	Neutral	stimuli/mug.bmp	3	0.6509999999999999
45.775	5	BETTER	Negative	stimuli/6830.jpg	3	0.441
56.722	5	VIEW	Negative	stimuli/6250.jpg	1	0.416
68.135	5	VIEW	Neutral	stimuli/fork.bmp	3	0.721
78.90899999999999	5	VIEW	Negative	stimuli/9622.jpg	1	0.422
89.616	5	VIEW	Negative	stimuli/9400.jpg	1	0.265
100.976	5	VIEW	Neutral	stimuli/beads.bmp	4	0.455
111.776	5	BETTER	Negative	stimuli/6571.jpg	2	0.502
122.336	5	BETTER	Negative	stimuli/2690.jpg	2	0.417
133.536	5	VIEW	Neutral	stimuli/mushroom1.bmp	4	0.416
144.749	5	BETTER	Negative	stimuli/1321.jpg	3	0.7290000000000001
155.403	5	VIEW	Negative	stimuli/7380.jpg	1	0.315
166.456	5	VIEW	Neutral	stimuli/farmland.bmp	4	0.885
177.456	5	VIEW	Negative	stimuli/9270.jpg	2	0.544
188.683	5	VIEW	Negative	stimuli/2490.jpg	3	0.7190000000000001
200.15	5	VIEW	Neutral	stimuli/spoon.bmp	3	0.7979999999999999
210.857	5	BETTER	Negative	stimuli/5970.jpg	3	1.336
221.803	5	VIEW	Negative	stimuli/6312.jpg	1	0.283
233.177	5	VIEW	Neutral	stimuli/bowl.bmp	2	0.412
243.91	5	BETTER	Negative	stimuli/2751.jpg	2	1.063
254.67	5	VIEW	Negative	stimuli/3300.jpg	2	0.657
265.284	5	VIEW	Neutral	stimuli/nature.bmp	3	0.777
276.444	5	BETTER	Negative	stimuli/6211.jpg	2	0.348
287.04400000000004	5	BETTER	Negative	stimuli/2205.jpg	2	0.508
297.831	5	VIEW	Neutral	stimuli/abstract.bmp	3	0.4679999999999999
309.151	5	BETTER	Negative	stimuli/9432.jpg	4	0.6659999999999999
320.498	5	BETTER	Negative	stimuli/2700.jpg	3	0.545
331.164	5	VIEW	Neutral	stimuli/chair.bmp	3	0.4529999999999999
342.36400000000003	5	BETTER	Negative	stimuli/2710.jpg	2	1.892
353.045	5	VIEW	Negative	stimuli/6940.jpg	1	0.384
364.005	5	VIEW	Neutral	stimuli/fabric.bmp	3	0.503
374.605	5	BETTER	Negative	stimuli/2691.jpg	2	0.762
385.858	5	BETTER	Negative	stimuli/8230.jpg	2	0.562
397.17800000000005	5	VIEW	Neutral	stimuli/truck.bmp	2	0.395
407.912	5	VIEW	Negative	stimuli/9530.jpg	1	0.311
419.125	5	BETTER	Negative	stimuli/9421.jpg	2	0.696
430.338	5	VIEW	Neutral	stimuli/hydrant.bmp	3	0.941
